start_hour,start_month,start_weekday,duration_minutes,Distance(mi),Temperature(F),Visibility(mi),Amenity,Bump,Crossing,Junction,Railway,Stop,Traffic_Signal,Severity
23,3,6,30.0,0.01,59.0,10.0,0,0,0,0,0,0,0,2
12,9,1,33.86666666666667,0.0,75.2,10.0,0,0,0,1,0,0,0,3
15,8,0,75.0,0.0,93.2,10.0,0,0,0,0,0,0,0,2
17,12,3,29.333333333333332,0.01,53.1,10.0,0,0,1,0,0,0,1,2
13,11,1,28.833333333333332,0.01,73.4,10.0,0,0,0,0,0,0,0,2
13,6,3,60.0,0.0,75.0,10.0,0,0,0,0,0,0,0,3
20,10,3,25.983333333333334,0.0,62.1,10.0,0,0,0,0,0,0,0,2
13,4,1,30.0,0.0,61.0,10.0,0,0,0,0,0,0,0,2
11,8,0,40.28333333333333,0.0,81.0,9.0,0,0,0,0,0,0,0,2
11,12,4,29.6,0.01,61.0,10.0,0,0,0,0,0,0,0,2
11,8,0,35.35,0.0,84.2,10.0,0,0,0,0,0,0,0,3
14,1,5,44.55,0.01,64.4,10.0,0,0,0,0,0,0,0,3
10,12,2,29.6,0.01,59.0,10.0,0,0,0,0,0,0,0,3
10,10,1,39.03333333333333,0.0,66.0,9.0,0,0,0,0,0,0,0,3
11,8,2,34.483333333333334,0.0,84.9,10.0,0,0,0,0,0,0,0,2
14,6,3,60.0,0.0,80.6,10.0,0,0,0,0,0,0,1,2
11,6,2,30.0,0.0,69.1,10.0,0,0,0,0,0,0,0,3
15,3,1,45.0,0.0,,,0,0,0,0,0,0,0,3
14,10,1,44.3,0.0,69.1,10.0,0,0,1,0,0,0,1,2
20,10,3,28.766666666666666,0.01,59.0,3.0,0,0,0,0,0,0,0,2
11,9,1,44.65,0.0,90.0,10.0,0,0,0,0,0,0,0,2
12,3,2,45.0,0.0,59.0,10.0,0,0,1,0,0,0,0,2
9,10,3,29.533333333333335,0.0,60.8,9.0,0,0,0,0,0,0,0,2
11,6,4,30.0,0.01,89.1,10.0,0,0,0,1,0,0,0,2
17,10,0,44.6,0.01,71.6,10.0,0,0,0,0,0,0,0,3
3,9,1,30.0,0.0,72.0,10.0,0,0,0,0,0,0,0,2
9,10,4,29.183333333333334,0.01,66.9,10.0,0,0,0,0,0,0,0,2
12,10,3,59.6,0.0,75.9,10.0,0,0,0,0,0,0,0,2
16,3,3,30.0,0.0,87.1,10.0,0,0,0,0,0,1,0,2
1,10,1,44.233333333333334,0.0,62.1,10.0,0,0,0,0,0,0,0,3
19,7,4,75.0,0.0,87.1,10.0,0,0,0,0,0,0,0,3
23,6,5,60.0,0.0,66.0,10.0,0,0,0,1,0,0,0,3
17,7,4,45.0,0.0,84.2,10.0,0,0,0,0,0,0,0,2
19,9,3,29.083333333333332,0.0,73.4,10.0,0,0,0,0,0,0,1,2
14,9,2,29.75,0.0,69.1,10.0,0,0,0,1,0,0,0,2
12,8,2,35.333333333333336,0.0,82.0,10.0,0,0,1,0,1,0,0,2
11,8,2,45.0,0.0,75.9,7.0,0,0,0,0,0,0,0,3
3,9,5,45.0,0.0,57.0,10.0,0,0,0,0,0,0,0,3
18,8,3,45.0,0.0,70.0,10.0,0,0,0,1,0,0,0,3
18,11,1,44.53333333333333,0.01,63.0,10.0,0,0,0,0,0,0,0,2
4,1,5,29.833333333333332,0.01,44.6,10.0,0,0,0,0,0,0,1,2
